#p:1|Vaquero|{V}|110|10|5|0|-1|-1|-1|-1|-1|
//#p:2|Bandido|{B}|110|10|5|0|-1|-1|-1|-1|-1|
#c:31|Forajido|{F}|102|8|0|¡Manos arriba!|-1|15|
#c:32|Cantinero|{C}|21|1|1|¿Que te sirvo, forastero?|-1|2|

c:61|Capataz|{G}|81|4|0|La mina esta cerrada.|-1|3|
#c:63|Buhonero|{V}|41|3|1|Tengo de todo si tienes dolares.|-1|4|
#c:64|Jinete|[X]|110|6|0|El mediodia se acerca.|-1|10|
#c:65|Cuatrero|{C}|82|8|0|El botin descansara en el infierno.|-1|0|
#c:66|BillyElNiño|{b}|82|12|0|¡No soy un nino!|-1|16|
#c:67|Manosrapidas|{M}|32|8|1|¡Sacadme de aqui, soy inocente!|-1|0|
#c:68|Ezequiel|{E}|91|2|1|Soy el sepulturero.|-1|0|
#c:69|Alcalde|{A}|101|1|1|Bienvenido a nuestra humilde ciudad.|-1|0|
#c:70|Sheriff|{S}|31|30|1|Manten las manos donde pueda verlas.|-1|150|
#o:21|Revolver|41|Un pesado revolver de tambor de seis tiros.|0|0|-1|-1|15|7|
#o:23|Poncho|22|Un poncho de lana que protege del polvo y la arena.|1|1|-1|-1|0|0|
#o:24|Piel_Oso|110|Una autentica piel de oso cazado en las montañas.|1|1|-1|-1|0|0|
#o:25|CajaFuerte|110|Se dice que en este pueblo hay un tesoro escondido en el fondo del banco... ¡VE A BUSCARLO!|0|0|-1|-1|0|0|
#o:27|Winchester|41|Un rifle de repeticion reluciente.|0|0|-1|-1|20|9|
#o:28|LlaveBanco|101|Una llave gruesa con la insignia del banco local que abre Banco_Boveda.|0|1|41|17|0|0|
#o:29|LlaveCarcel|31|Una llave aspera de la Comisaria que abre Comisaria_Carcel.|0|1|41|19|0|0|
#o:30|LlaveMina|102|Una llave negra cubierta de polvo de carbon.|0|1|41|25|0|0|
#o:41|Anilla|22|Un aro de alambre pesado para agrupar llaves.|0|1|-1|-1|0|0|
#o:42|Dinamita|81|Un cartucho rojo con la mecha intacta.|0|1|-1|-1|0|3|
#o:43|Mapa|110|Un mapa a medio dibujar del cañon subterraneo.|0|1|-1|-1|0|0|
#o:44|Brujula|82|Una brujula de laton con el cristal roto.|0|1|-1|-1|0|0|
#o:45|Lazo|102|Una soga gruesa con nudo corredizo.|0|1|-1|-1|0|1|
#o:46|Cuchillo|32|Un cuchillo Bowie de cazador muy afilado.|0|1|-1|-1|0|2|
#o:47|Cartel|31|Un cartel antiguo de recompensa SE BUSCA.|0|1|-1|-1|0|0|
#o:48|Placa|31|Una estrella de hojalata de seis puntas para el pecho.|0|1|-1|-1|0|0|
#o:50|Whisky|41|Una botella de licor de centeno casero muy fuerte.|1|0|-1|-1|2|0|
#o:51|Pico|81|Un pico de minero con mango de roble astillado.|0|1|-1|-1|0|1|
#o:59|Botas|41|Unas botas de cuero de montar gastadas.|3|0|-1|-1|8|1|
#o:60|Frijoles|21|Una lata de frijoles en conserva todavia sellada.|1|1|-1|-1|0|0|
#s:110|Calle1|.............|  : = = = :  |  : = = = :  |  : = = = :  |.............|1|
#s:21|Cantina|.===========.|I  SALOON   I|I [_______] I|I   }{ /^/  I|'==========='|0|
#s:22|HabitacionesCantina|.===========.|I  [=] [=]  I|I  \v\ /^/  I|I   _   _   I|'==========='|0|
#s:23|TejadoCantina|/////////////|///////// // |// \v\ // // |///////// // |/////////////|0|
#s:31|Comisaria|.-----------.|I SHERIFF * I|I   [===]   I|I    \v\    I|'-----------'|0|
#s:32|Carcel|#############|#!!!!!!!!!!!#|#           #|#  [===]    #|#############|0|
#s:41|TiendaGeneral|.$$$$$$$$$$$.|I STORE [=] I|I [=]   [=] I|I ===   === I|'$$$$$$$$$$$'|0|
